sample_id,t_2_score,t_2_s_sel,t_2_s_cond,t_2_s_agg,t_2_s_nest,t_2_s_oth
train.1,1,1.0,1.0,1.0,1.0,1.0
train.2,0,0.8333333333333333,1.0,1.0,1.0,1.0
train.6,1,0.5,1.0,1.0,1.0,0.5
train.8,0,0.3333333333333333,1.0,0.0,1.0,0.5
train.12,0,1.0,0.5,1.0,1.0,0.5
train.13,0,1.0,1.0,1.0,0.0,1.0
train.19,0,0.6666666666666666,1.0,1.0,1.0,1.0
train.44,0,0.6666666666666666,1.0,1.0,1.0,0.5
train.45,0,0.6666666666666666,1.0,1.0,1.0,0.5
train.46,0,0.6666666666666666,1.0,1.0,1.0,0.5
train.47,0,0.6666666666666666,1.0,1.0,1.0,0.5
train.50,0,1.0,1.0,1.0,0.0,1.0
train.51,0,1.0,1.0,1.0,1.0,1.0
train.56,1,1.0,1.0,1.0,1.0,1.0
train.64,0,1.0,1.0,1.0,1.0,1.0
train.65,0,1.0,1.0,1.0,1.0,1.0
train.67,0,0.6666666666666666,0.0,1.0,0.0,0.0
train.68,0,0.4,1.0,1.0,1.0,1.0
train.76,0,0.0,0.0,1.0,0.0,0.5
train.81,1,0.5,1.0,0.0,1.0,1.0
train.82,0,0.4,1.0,0.0,1.0,1.0
train.89,0,0.0,0.5,1.0,1.0,0.5
train.90,0,0.0,0.5,1.0,1.0,0.5
train.92,1,1.0,1.0,1.0,1.0,1.0
train.93,1,1.0,1.0,1.0,1.0,0.5
train.103,0,1.0,0.3333333333333333,1.0,0.0,1.0
train.104,0,1.0,0.5,1.0,1.0,1.0
train.105,0,1.0,0.5,1.0,0.0,1.0
train.106,1,1.0,1.0,1.0,1.0,1.0
train.123,0,1.0,0.0,1.0,1.0,1.0
train.133,1,1.0,0.0,0.0,1.0,1.0
train.134,0,1.0,0.0,0.6666666666666666,1.0,1.0
train.135,0,0.6666666666666666,0.5,1.0,1.0,0.5
train.136,0,1.0,0.5,0.0,1.0,0.5
train.137,0,1.0,0.75,1.0,1.0,1.0
train.142,1,1.0,0.8333333333333333,0.0,0.0,1.0
train.143,0,1.0,0.5714285714285714,0.0,0.5,1.0
train.144,0,1.0,0.6666666666666666,0.0,1.0,1.0
train.145,0,0.8333333333333333,1.0,1.0,1.0,0.5
train.146,0,0.8333333333333333,1.0,1.0,1.0,0.5
train.153,0,1.0,0.0,1.0,1.0,1.0
train.154,0,0.0,0.5333333333333333,1.0,0.0,1.0
train.155,0,1.0,0.3333333333333333,0.0,1.0,1.0
train.156,0,1.0,0.3333333333333333,0.0,1.0,1.0
train.160,0,1.0,0.5,0.0,1.0,1.0
train.161,0,0.6666666666666666,1.0,1.0,1.0,1.0
train.162,0,0.6666666666666666,1.0,1.0,1.0,1.0
train.163,0,0.0,0.0,1.0,0.0,1.0
train.164,0,0.0,0.0,1.0,0.0,1.0
train.165,1,1.0,0.0,1.0,0.0,1.0
train.166,0,1.0,0.5,1.0,1.0,1.0
train.167,0,1.0,0.41666666666666663,1.0,1.0,1.0
train.168,0,1.0,0.41666666666666663,1.0,1.0,1.0
train.172,0,1.0,0.2,0.0,0.0,1.0
train.183,0,0.6666666666666666,1.0,1.0,1.0,0.5
train.184,0,0.6666666666666666,1.0,0.0,1.0,0.5
train.188,0,1.0,1.0,1.0,1.0,1.0
train.189,0,0.8,1.0,0.0,1.0,1.0
train.190,0,0.8571428571428571,1.0,0.0,1.0,1.0
