db_id,sample_id,bo_id,f1_q,f1_ba
farm,37,16,0.31274399161338806,0.094742052257061
farm,37,50,0.11215540766716003,0.040807511657476425
farm,37,53,0.5204837322235107,0.10802482813596725
farm,37,41,0.48493799567222595,0.04781954362988472
farm,37,38,0.4163571298122406,0.1967783123254776
farm,37,20,0.41015276312828064,0.12747310101985931
farm,37,35,0.38227275013923645,0.22937728464603424
farm,37,46,0.15267933905124664,0.022728445008397102
farm,37,34,0.43873876333236694,0.24003571271896362
farm,37,54,0.15288522839546204,0.03187498450279236
farm,27,16,0.17961040139198303,0.17303241789340973
farm,27,50,0.13131515681743622,0.017142128199338913
farm,27,53,0.04218060523271561,0.07712456583976746
farm,27,41,-0.003639334114268422,-0.0077314218506217
farm,27,38,0.21878771483898163,0.10345667600631714
farm,27,20,0.033281631767749786,0.021510036662220955
farm,27,35,0.13178379833698273,0.018555128946900368
farm,27,46,0.32469215989112854,0.03542567789554596
farm,27,34,0.1503022015094757,0.028493108227849007
farm,27,54,0.12783579528331757,-0.016782963648438454
farm,48,16,0.10963807255029678,0.12736821174621582
farm,48,50,0.19371816515922546,0.03482106328010559
farm,48,53,0.33358338475227356,0.1586339920759201
farm,48,41,0.241159126162529,0.024330386891961098
farm,48,38,0.4027805030345917,0.1399545520544052
farm,48,20,0.2516709864139557,0.15917044878005981
farm,48,35,0.47790053486824036,0.1915847212076187
farm,48,46,0.24167756736278534,0.03127460926771164
farm,48,34,0.49952393770217896,0.1995110809803009
farm,48,54,0.3286546468734741,0.07404287904500961
farm,36,16,0.15898963809013367,0.17231160402297974
farm,36,50,0.194008469581604,0.0642927810549736
farm,36,53,0.32662254571914673,0.17172324657440186
farm,36,41,0.2899463176727295,0.07997847348451614
farm,36,38,0.5324891209602356,0.22293631732463837
farm,36,20,0.20947802066802979,0.17580579221248627
farm,36,35,0.5651184916496277,0.2789764106273651
farm,36,46,0.2570934295654297,0.05708015710115433
farm,36,34,0.6081318259239197,0.29037225246429443
farm,36,54,0.2561437785625458,0.07689748704433441
farm,55,16,0.2767200469970703,0.1169181540608406
farm,55,50,0.20368652045726776,0.07141005247831345
farm,55,53,0.3630134165287018,0.07535769790410995
farm,55,41,0.32704105973243713,0.011965127661824226
farm,55,38,0.25442245602607727,0.09185671806335449
farm,55,20,0.40168535709381104,0.07548695802688599
farm,55,35,0.1634913831949234,0.08105278760194778
farm,55,46,0.20628225803375244,0.07319740951061249
farm,55,34,0.20009909570217133,0.0901792049407959
farm,55,54,0.6141790151596069,0.24036945402622223
farm,45,16,0.05523029342293739,0.09505248069763184
farm,45,50,0.19002974033355713,0.04539084807038307
farm,45,53,0.050766680389642715,0.07218312472105026
farm,45,41,0.06417199969291687,0.01763196475803852
farm,45,38,0.30889594554901123,0.16796736419200897
farm,45,20,0.04683563485741615,0.03578943386673927
farm,45,35,0.239851713180542,0.11630400270223618
farm,45,46,0.3472037613391876,0.19714100658893585
farm,45,34,0.2757580578327179,0.12787888944149017
farm,45,54,0.28230106830596924,0.09616529941558838
farm,39,16,0.4124126434326172,0.15621624886989594
farm,39,50,0.16470344364643097,0.1007549911737442
farm,39,53,0.3301093280315399,0.08721476048231125
farm,39,41,0.45347586274147034,0.10267195105552673
farm,39,38,0.6651749014854431,0.2918325662612915
farm,39,20,0.38889384269714355,0.14797380566596985
farm,39,35,0.27297407388687134,0.23548662662506104
farm,39,46,0.23890629410743713,0.1157032772898674
farm,39,34,0.34789562225341797,0.2441147267818451
farm,39,54,0.19137246906757355,0.09465199708938599
farm,17,16,0.43315067887306213,0.32924017310142517
farm,17,50,0.24612174928188324,0.0691378116607666
farm,17,53,0.1199871301651001,0.11408508569002151
farm,17,41,0.1408310979604721,0.07254158705472946
farm,17,38,0.4324387013912201,0.18670400977134705
farm,17,20,0.17377369105815887,0.149804949760437
farm,17,35,0.27267351746559143,0.1522534191608429
farm,17,46,0.3876016139984131,0.164351686835289
farm,17,34,0.3112734258174896,0.15755155682563782
farm,17,54,0.32801011204719543,0.08672457188367844
student_assessment,61,96,0.45565593242645264,0.1372119039297104
student_assessment,61,58,0.23209203779697418,-0.046526968479156494
student_assessment,61,100,0.39983266592025757,-0.06276112049818039
student_assessment,61,74,0.2357027679681778,0.04291200265288353
student_assessment,61,56,0.2529353201389313,0.06100378558039665
student_assessment,61,75,0.15180844068527222,0.021728642284870148
student_assessment,61,88,0.4197612404823303,-0.014300940558314323
student_assessment,61,68,0.29158076643943787,0.0585789754986763
student_assessment,61,71,0.17392662167549133,-0.08572865277528763
student_assessment,61,78,0.43629804253578186,-0.011441388167440891
student_assessment,57,96,0.4858929514884949,0.21935030817985535
student_assessment,57,58,0.3957430422306061,0.09166213124990463
student_assessment,57,100,0.4642607271671295,0.06088300421833992
student_assessment,57,74,0.2477455884218216,0.0729922205209732
student_assessment,57,56,0.6616528034210205,0.21203243732452393
student_assessment,57,75,0.30987420678138733,0.03492983803153038
student_assessment,57,88,0.50859135389328,0.09559281915426254
student_assessment,57,68,0.4697142541408539,0.1951092779636383
student_assessment,57,71,0.29033163189888,0.04219119995832443
student_assessment,57,78,0.6725295186042786,0.13841407001018524
student_assessment,59,96,0.3093995451927185,0.13508515059947968
student_assessment,59,58,0.6192536354064941,0.08178737014532089
student_assessment,59,100,0.5864074230194092,0.08636081218719482
student_assessment,59,74,0.18720373511314392,0.04733818396925926
student_assessment,59,56,0.40967634320259094,0.15073023736476898
student_assessment,59,75,0.2789495587348938,0.050091080367565155
student_assessment,59,88,0.598223865032196,0.1082434356212616
student_assessment,59,68,0.4211036264896393,0.21197804808616638
student_assessment,59,71,0.2997239828109741,0.022560693323612213
student_assessment,59,78,0.6225185990333557,0.1523003876209259
student_assessment,95,96,0.7733074426651001,0.33997806906700134
student_assessment,95,58,0.17379100620746613,0.04827582836151123
student_assessment,95,100,0.19245243072509766,-0.051612503826618195
student_assessment,95,74,0.036993008106946945,-0.013442403636872768
student_assessment,95,56,0.22989113628864288,0.1600494682788849
student_assessment,95,75,0.11505027860403061,0.030716968700289726
student_assessment,95,88,0.22152048349380493,0.005514271091669798
student_assessment,95,68,0.19551610946655273,0.12661421298980713
student_assessment,95,71,0.13121096789836884,-0.05177495628595352
student_assessment,95,78,0.23430319130420685,0.06471799314022064
student_assessment,91,96,0.08378838002681732,-0.041902314871549606
student_assessment,91,58,0.11602218449115753,-0.13223619759082794
student_assessment,91,100,0.09797030687332153,-0.1421709954738617
student_assessment,91,74,-0.0031781045254319906,-0.015354422852396965
student_assessment,91,56,0.12408486753702164,-0.08063535392284393
student_assessment,91,75,0.056346990168094635,-0.08118769526481628
student_assessment,91,88,0.10738948732614517,-0.09307371824979782
student_assessment,91,68,0.08996342122554779,-0.06002870574593544
student_assessment,91,71,0.032397665083408356,-0.17093604803085327
student_assessment,91,78,0.10643630474805832,-0.10814313590526581
student_assessment,72,96,0.1653560847043991,0.07514192163944244
student_assessment,72,58,0.2652599513530731,0.012114161625504494
student_assessment,72,100,0.30190157890319824,0.022593889385461807
student_assessment,72,74,0.12534919381141663,-0.0027016890235245228
student_assessment,72,56,0.29745736718177795,0.06575027853250504
student_assessment,72,75,0.25128814578056335,0.01050091814249754
student_assessment,72,88,0.30252912640571594,0.0723886638879776
student_assessment,72,68,0.29519712924957275,0.10761056840419769
student_assessment,72,71,0.7442535161972046,0.0020317407324910164
student_assessment,72,78,0.34519675374031067,0.05680963397026062
student_assessment,69,96,0.21997541189193726,0.03879236802458763
student_assessment,69,58,0.24154512584209442,-0.022468164563179016
student_assessment,69,100,0.33366072177886963,-0.03327068313956261
student_assessment,69,74,0.04880768805742264,-0.04229573532938957
student_assessment,69,56,0.4231049716472626,0.014570402912795544
student_assessment,69,75,0.17308609187602997,-0.04576696455478668
student_assessment,69,88,0.3683299124240875,0.029590029269456863
student_assessment,69,68,0.34137094020843506,0.08685276657342911
student_assessment,69,71,0.4091395437717438,-0.033469513058662415
student_assessment,69,78,0.3667544722557068,0.03159422427415848
student_assessment,90,96,0.3398597538471222,0.10332212597131729
student_assessment,90,58,0.3791278600692749,0.035760119557380676
student_assessment,90,100,0.6389395594596863,0.0751037746667862
student_assessment,90,74,0.2172917276620865,0.04973897710442543
student_assessment,90,56,0.3878866136074066,0.09713013470172882
student_assessment,90,75,0.45587560534477234,0.027171574532985687
student_assessment,90,88,0.8257661461830139,0.10926619172096252
student_assessment,90,68,0.5591341257095337,0.193185955286026
student_assessment,90,71,0.3182730972766876,0.013078293763101101
student_assessment,90,78,0.5913679599761963,0.10575681924819946
student_assessment,102,96,0.3398233950138092,0.12302291393280029
student_assessment,102,58,0.3495205044746399,0.01509555522352457
student_assessment,102,100,0.663112461566925,0.10015673190355301
student_assessment,102,74,0.2496342957019806,0.057979658246040344
student_assessment,102,56,0.31602734327316284,0.10280721634626389
student_assessment,102,75,0.28846126794815063,0.020084673538804054
student_assessment,102,88,0.6201019287109375,0.13438589870929718
student_assessment,102,68,0.35150209069252014,0.13262397050857544
student_assessment,102,71,0.4957687556743622,0.043750762939453125
student_assessment,102,78,0.46800246834754944,0.0710311159491539
student_assessment,63,96,0.22405266761779785,0.0535566583275795
student_assessment,63,58,0.31867676973342896,-0.028449667617678642
student_assessment,63,100,0.5337488651275635,0.03176373988389969
student_assessment,63,74,0.2165592759847641,0.01337424386292696
student_assessment,63,56,0.2181944102048874,0.012401282787322998
student_assessment,63,75,0.24557717144489288,-0.020427241921424866
student_assessment,63,88,0.49543148279190063,0.07521219551563263
