db_id,sample_id,target_complexity,question,target,no_bos_pred,with_bos_pred,vt,ba,BO_complexity
synthea,1531,7,"Indicate the care plan needed for the patient living at 179 Sydni Roads, Taunton, MA 02780 US.",SELECT T1.DESCRIPTION FROM careplans AS T1 INNER JOIN patients AS T2 ON T1.PATIENT = T2.patient WHERE T2.address = '179 Sydni Roads Taunton MA 02780 US',"SELECT careplans.description FROM careplans JOIN patients ON careplans.patient = patients.patient WHERE patients.address = '179 Sydni Roads, Taunton, MA 02780 US'",SELECT DISTINCT careplans.description FROM patients INNER JOIN careplans ON patients.patient = careplans.patient WHERE patients.address = '179 Sydni Roads Taunton MA 02780 US',SELECT DISTINCT careplans.description FROM patients INNER JOIN careplans AS T2 ON T1.patient = T2.PATIENT WHERE patients.first = '[placeholder-type:string]' AND patients.last = '[placeholder-type:string]',"The virtual table describes the distinct care plan descriptions associated with patients from the 'patients' table. It filters the results based on the first and last names of the patients, using placeholders for these string values.",9
talkingdata,1227,7,How many users belong to the same behavior category as comics?,SELECT COUNT(T2.app_id) FROM label_categories AS T1 INNER JOIN app_labels AS T2 ON T1.label_id = T2.label_id WHERE T1.category = 'comics',SELECT COUNT(DISTINCT a.app_id) FROM app_labels a JOIN label_categories l ON a.label_id = l.label_id WHERE l.category = 'comics' AND a.label_id = (SELECT label_id FROM app_labels WHERE label_id = (SELECT label_id FROM label_categories WHERE category = 'comics')),SELECT COUNT(app_labels.app_id) FROM app_labels INNER JOIN label_categories ON app_labels.label_id = label_categories.label_id WHERE label_categories.category = 'comics',SELECT COUNT(app_labels.app_id) FROM app_labels INNER JOIN label_categories AS T2 ON T1.label_id = T2.label_id WHERE label_categories.category = '[placeholder-type:string]',The virtual table counts the number of app users associated with a specific behavior category from the 'app_labels' table. It joins the 'app_labels' table with the 'label_categories' table to filter the results based on the specified category. The placeholder in the WHERE clause represents the category name.,7
talkingdata,1043,7,How many active users were there in the event id 2?,SELECT COUNT(is_active) FROM app_events WHERE event_id = 2 AND is_active = 1,SELECT COUNT(*) FROM app_events WHERE is_active = 1 AND event_id = 2;,SELECT COUNT(app_events.app_id) FROM app_events INNER JOIN events ON app_events.event_id = events.event_id WHERE app_events.is_active = 1 AND events.event_id = 2,SELECT COUNT(phone_brand_device_model2.device_id) FROM phone_brand_device_model2 INNER JOIN events AS T2 ON T2.device_id = T1.device_id WHERE phone_brand_device_model2.phone_brand = '[placeholder-type:string]' AND events.event_id = [placeholder-type:numeric],"The virtual table counts the number of devices from the 'phone_brand_device_model2' table that are associated with a specific event in the 'events' table. It filters the results based on a specified phone brand and event ID, using placeholders for these values.",8
airline,5839,7,Give the number of planes that took off from Los Angeles International airport on 2018/8/27.,"SELECT SUM(CASE WHEN T2.FL_DATE = '2018/8/27' THEN 1 ELSE 0 END) AS count FROM Airports AS T1 INNER JOIN Airlines AS T2 ON T1.Code = T2.ORIGIN WHERE T1.Description = 'Los Angeles, CA: Los Angeles International'",SELECT COUNT(DISTINCT tail_num) FROM airlines WHERE origin = 'LAX' AND fl_date = '2018/8/27';,SELECT COUNT(*) FROM airlines WHERE fl_date = '2018/8/27' AND origin = 'LAX',SELECT COUNT(*) FROM airlines WHERE airlines.fl_date = '[placeholder-type:string]',The virtual table counts the number of flights from the 'airlines' table that are scheduled on a specific flight date. The placeholder in the WHERE clause represents the flight date being queried.,6
sales,5426,6,Calculate the percentage of sold blades in the total number of transactions.,"SELECT CAST(SUM(IIF(T1.Name = 'Blade', T2.Quantity, 0)) AS REAL) * 100 / SUM(T2.Quantity) FROM Products AS T1 INNER JOIN Sales AS T2 ON T1.ProductID = T2.ProductID",SELECT (COUNT(CASE WHEN p.name = 'Blade' THEN 1 END) * 100.0) / COUNT(*) AS percentage_sold_blades FROM sales s JOIN products p ON s.productid = p.productid;,SELECT (SUM(CASE WHEN products.name = 'Blade' THEN sales.quantity ELSE 0 END) * 100.0 / SUM(sales.quantity)) AS percentage_sold_blades FROM sales INNER JOIN products ON sales.productid = products.productid,SELECT SUM(sales.quantity) FROM products INNER JOIN Sales AS T2 ON T1.ProductID = T2.ProductID WHERE products.name = '[placeholder-type:string]',The virtual table calculates the total quantity sold of a specific product from the 'products' table by joining it with the 'sales' table. The placeholder in the WHERE clause represents the name of the product for which the total quantity is being calculated.,7
codebase_community,10136,7,List the comments commented by the user with a username of Harvey Motulsky.,SELECT T1.Text FROM comments AS T1 INNER JOIN users AS T2 ON T1.UserId = T2.Id WHERE T2.DisplayName = 'Harvey Motulsky',SELECT * FROM comments WHERE userid = (SELECT id FROM users WHERE displayname = 'Harvey Motulsky'),SELECT comments.text FROM comments INNER JOIN users ON comments.userid = users.id WHERE users.displayname = 'Harvey Motulsky',SELECT comments.text FROM comments INNER JOIN posts AS T2 ON T1.PostId = T2.Id WHERE posts.title = '[placeholder-type:string]',The virtual table retrieves the text of comments associated with posts that have a specific title. It joins the 'comments' table with the 'posts' table to filter comments based on the title of the post.,7
world_development_indicators,2163,6,Which countries use Euro as their currency? List down the table name.,SELECT TableName FROM Country WHERE CurrencyUnit = 'Euro',"SELECT shortname AS shortname, tablename FROM country WHERE currencyunit = 'Euro'",SELECT tablename FROM country WHERE currencyunit = 'Euro',SELECT countrynotes.seriescode FROM country INNER JOIN CountryNotes AS T2 ON T1.CountryCode = T2.Countrycode WHERE country.currencyunit = '[placeholder-type:string]',"The virtual table retrieves the series codes from the 'CountryNotes' table for countries that use a specific currency unit. It joins the 'country' table with the 'CountryNotes' table based on the country code, filtering the results to only include countries with the specified currency unit.",7
world_development_indicators,2182,6,Which country have completed vital registration? List all the countries.,SELECT ShortName FROM Country WHERE VitalRegistrationComplete = 'Yes',"SELECT shortname, longname FROM country WHERE vitalregistrationcomplete = 'Yes';",SELECT shortname FROM country WHERE vitalregistrationcomplete = 'Yes',SELECT country.tablename FROM country INNER JOIN CountryNotes AS T2 ON T1.CountryCode = T2.Countrycode WHERE countrynotes.seriescode = '[placeholder-type:string]',The virtual table lists the table names of countries from the 'country' table that have associated notes in the 'CountryNotes' table for a specific series code. The placeholder in the WHERE clause represents the series code being queried.,7
debit_card_specializing,10907,7,How much more was customer 7 consuming in April 2013 than customer 5?,"SELECT SUM(IIF(CustomerID = 7, Consumption, 0)) - SUM(IIF(CustomerID = 5, Consumption, 0)) FROM yearmonth WHERE Date = '201304'",SELECT (SUM(CASE WHEN customerid = '7' THEN consumption ELSE 0 END) - SUM(CASE WHEN customerid = '5' THEN consumption ELSE 0 END)) AS consumption_difference FROM yearmonth WHERE date BETWEEN 20130401 AND 20130430;,SELECT (SELECT SUM(yearmonth.consumption) FROM yearmonth WHERE yearmonth.customerid = '7' AND yearmonth.date = '201304') - (SELECT SUM(yearmonth.consumption) FROM yearmonth WHERE yearmonth.customerid = '5' AND yearmonth.date = '201304') AS consumption_difference,SELECT SUM(yearmonth.consumption) FROM customers INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE yearmonth.date = '[placeholder-type:string]' AND customers.segment = '[placeholder-type:string]',"The virtual table summarizes the total consumption of customers from the 'yearmonth' table, filtered by a specific date and customer segment. The placeholders in the WHERE clause represent the date and segment criteria.",8
bike_share_1,9050,7,What was the mean humidity of a trip with id 4275?,SELECT T2.mean_humidity FROM trip AS T1 INNER JOIN weather AS T2 ON T2.zip_code = T1.zip_code WHERE T1.id = 4275,SELECT mean_humidity FROM weather WHERE date = (SELECT start_date FROM trip WHERE id = '4275'),SELECT weather.mean_humidity FROM trip INNER JOIN weather ON trip.zip_code = weather.zip_code WHERE trip.id = '4275',SELECT trip.id FROM trip INNER JOIN weather AS T2 ON T2.zip_code = T1.zip_code WHERE trip.bike_id = [placeholder-type:numeric] AND weather.mean_temperature_f > [placeholder-type:numeric] AND trip.subscription_type = '[placeholder-type:string]',"The virtual table retrieves the IDs of trips from the 'trip' table that meet specific conditions related to weather and bike usage. It joins the 'trip' table with the 'weather' table based on matching zip codes. The query filters trips based on the bike ID, ensures that the mean temperature is above a certain threshold, and specifies the type of subscription used for the trip.",10
